Figure,Description,PNG,PDF,SVG,Script,Inputs,Command,Usage,Panel_count,SHA256_PNG,Title,Panel,Purpose,Data_origin,Intermediate_files,Parameters,Filters,Statistical_methods,Random_seed,Libraries_and_versions,Article_location,App_location,Validation_status,SHA256_PDF,SHA256_SVG,Notes,Last_generated_UTC
Supplementary Figure 20,SupplementaryFigure20_GTDB_order_combined_bold,SupplementaryFigure20_GTDB_order_combined_bold.png,SupplementaryFigure20_GTDB_order_combined_bold.pdf,SupplementaryFigure20_GTDB_order_combined_bold.svg,scripts/generate_taxonomy_supplementary_figures.py,data/resultado.cds.otu.tab; data/resultado.cds.tax.tab; data/st8_metadata_curated.csv,python scripts/generate_taxonomy_supplementary_figures.py --base-dir .,supplementary material and application where applicable,1,3d752b26726ee6487ebf8a878a42e2fded54f305af18ca240b6108addcbf47d2,,,,,,,,,,,,,,451264cbd19d78df44753ef024b67bcfef406276c4a54e162cc52a9d10ab2b52,a4d14a99d8beb59cc71811f17d79f788095394f71c08e01a362ada3feaa0f082,,2026-07-26T03:10:20.893877+00:00
Supplementary Figure 21,SupplementaryFigure21_GTDB_order_metagenomics_bold,SupplementaryFigure21_GTDB_order_metagenomics_bold.png,SupplementaryFigure21_GTDB_order_metagenomics_bold.pdf,SupplementaryFigure21_GTDB_order_metagenomics_bold.svg,scripts/generate_taxonomy_supplementary_figures.py,data/resultado.cds.otu.tab; data/resultado.cds.tax.tab; data/st8_metadata_curated.csv,python scripts/generate_taxonomy_supplementary_figures.py --base-dir .,supplementary material and application where applicable,1,20a9a0b7aca763f66d3569df0c35824271ba8dadb187dc6026d209b63a17d676,,,,,,,,,,,,,,0a3ff43cff0d2fabed7a5cc16138be06962f96c7325a3842ef89f6e94a21f440,8c2a2748ad088d3b59ba49c3a9d40d780a824ab284847f93b5f94f4ee93f3b45,,2026-07-26T03:10:20.893877+00:00
Supplementary Figure 22,SupplementaryFigure22_GTDB_order_metatranscriptomics_bold,SupplementaryFigure22_GTDB_order_metatranscriptomics_bold.png,SupplementaryFigure22_GTDB_order_metatranscriptomics_bold.pdf,SupplementaryFigure22_GTDB_order_metatranscriptomics_bold.svg,scripts/generate_taxonomy_supplementary_figures.py,data/resultado.cds.otu.tab; data/resultado.cds.tax.tab; data/st8_metadata_curated.csv,python scripts/generate_taxonomy_supplementary_figures.py --base-dir .,supplementary material and application where applicable,1,c0560f29474f339ac1c0370067de65f7257cd6eaa5a23fc83386c67ae0385f53,,,,,,,,,,,,,,59c502deb24162af68593e7d2b5a0dbd33d6f8c9aaa5b648cb2aa5017cf3cc55,3467aacd5221ab0b12fd6e9c0146f5b2dc9eaff3e1a34a251becdbd28bc00b80,,2026-07-26T03:10:20.893877+00:00
Supplementary Figure 23,SupplementaryFigure23_GTDB_family_combined_bold,SupplementaryFigure23_GTDB_family_combined_bold.png,SupplementaryFigure23_GTDB_family_combined_bold.pdf,SupplementaryFigure23_GTDB_family_combined_bold.svg,scripts/generate_taxonomy_supplementary_figures.py,data/resultado.cds.otu.tab; data/resultado.cds.tax.tab; data/st8_metadata_curated.csv,python scripts/generate_taxonomy_supplementary_figures.py --base-dir .,supplementary material and application where applicable,1,1f851dfda210f0c9c5bd27bbeb69094c822855819a41481adeb1b5b1345f8e1b,,,,,,,,,,,,,,8e1dd323d74a15a1fee483b25c40c602c4005a505aec1526de3af62b14eca42c,1f1bc3f8a991565f1cbf1ff276c4a8fbcaa70ce9492e07973dc54e4a2bf7751d,,2026-07-26T03:10:20.893877+00:00
Supplementary Figure 24,SupplementaryFigure24_GTDB_family_metagenomics_bold,SupplementaryFigure24_GTDB_family_metagenomics_bold.png,SupplementaryFigure24_GTDB_family_metagenomics_bold.pdf,SupplementaryFigure24_GTDB_family_metagenomics_bold.svg,scripts/generate_taxonomy_supplementary_figures.py,data/resultado.cds.otu.tab; data/resultado.cds.tax.tab; data/st8_metadata_curated.csv,python scripts/generate_taxonomy_supplementary_figures.py --base-dir .,supplementary material and application where applicable,1,40ca2134542005fb7031c2ec2eac78313087e60aec56b912901248c1a59b636b,,,,,,,,,,,,,,c09eb6c48bbd72088f9029fa4f1a06e604c6671ed5f64362bc88d64fc83dcff5,f4df273b2c27d58e6c0d6fc5c6d0f3a2d5f682b5ceedfe1f0e7ef0bef928e116,,2026-07-26T03:10:20.893877+00:00
Supplementary Figure 25,SupplementaryFigure25_GTDB_family_metatranscriptomics_bold,SupplementaryFigure25_GTDB_family_metatranscriptomics_bold.png,SupplementaryFigure25_GTDB_family_metatranscriptomics_bold.pdf,SupplementaryFigure25_GTDB_family_metatranscriptomics_bold.svg,scripts/generate_taxonomy_supplementary_figures.py,data/resultado.cds.otu.tab; data/resultado.cds.tax.tab; data/st8_metadata_curated.csv,python scripts/generate_taxonomy_supplementary_figures.py --base-dir .,supplementary material and application where applicable,1,0ca1df41975a316f48d791706eaa099b90010c048576b4c2f9928c1d2548f282,,,,,,,,,,,,,,3e4f5af3c80e861cb48c6947fcaf9bcee9ec5cf0d7405ff76afc3f04baf83955,0178d908752ef169a9f2c4aaeb970e0613e4dbb929e6dff3a6c8211198481ac2,,2026-07-26T03:10:20.893877+00:00
Supplementary Figure 26,SupplementaryFigure26_taxonomic_overlap_phylum_original,SupplementaryFigure26_taxonomic_overlap_phylum_original.png,SupplementaryFigure26_taxonomic_overlap_phylum_original.pdf,SupplementaryFigure26_taxonomic_overlap_phylum_original.svg,scripts/generate_core_taxonomy_overlap_figure.py,See script header and README_FIGURE_REPRODUCTION.md,python scripts/generate_core_taxonomy_overlap_figure.py --base-dir .,supplementary material and application where applicable,1,1a3bbaebfc1deff1acbc737fcad2cf3e5ce3dcd45b9fc46d822ff518b606105f,,,,,,,,,,,,,,577cf1ed661c8ef54fafad7b5b11d4b50d246db58175f4fe48899a9f4eb212cc,378046120ae98441c4a807063f257ff1b3c6cdf17bf6cec8ab670df19b35726f,,2026-07-26T03:10:20.893877+00:00
Supplementary Figure 27,SupplementaryFigure27_taxonomic_overlap_order_original,SupplementaryFigure27_taxonomic_overlap_order_original.png,SupplementaryFigure27_taxonomic_overlap_order_original.pdf,SupplementaryFigure27_taxonomic_overlap_order_original.svg,scripts/generate_core_taxonomy_overlap_figure.py,See script header and README_FIGURE_REPRODUCTION.md,python scripts/generate_core_taxonomy_overlap_figure.py --base-dir .,supplementary material and application where applicable,1,8b97700e8001719548bafd3bc860da1ab24325420dd61bc9d334d3e31170b084,,,,,,,,,,,,,,18710f4a83a8c77153d384e39ded6241515918329fc1af61d06592de871c49e4,66fd8c2658374da60c1a4bb4d0c726c54763a0cef4d077ea1db0dc4f666f3783,,2026-07-26T03:10:20.893877+00:00
Supplementary Figure 28,SupplementaryFigure28_taxonomic_overlap_family_original,SupplementaryFigure28_taxonomic_overlap_family_original.png,SupplementaryFigure28_taxonomic_overlap_family_original.pdf,SupplementaryFigure28_taxonomic_overlap_family_original.svg,scripts/generate_core_taxonomy_overlap_figure.py,See script header and README_FIGURE_REPRODUCTION.md,python scripts/generate_core_taxonomy_overlap_figure.py --base-dir .,supplementary material and application where applicable,1,a4d26d1ae52cf0786a1fac11d10cc37de0079f60ba487399264b19c342e7bf2b,,,,,,,,,,,,,,7b33e68b06c8006b334ae6c836b1c35f8a33ca33fa415d8c52f82e2e904e3b4e,ef85ec1f7132c019571cd7c8e1f99774b7ad884bfb72c15cdbfa9851748dce15,,2026-07-26T03:10:20.893877+00:00
Supplementary Figure 29,SupplementaryFigure29_complete_computational_workflow,SupplementaryFigure29_complete_computational_workflow.png,SupplementaryFigure29_complete_computational_workflow.pdf,SupplementaryFigure29_complete_computational_workflow.svg,scripts/generate_atlas_workflow_figure.py,See script header and README_FIGURE_REPRODUCTION.md,python scripts/generate_atlas_workflow_figure.py --base-dir .,supplementary material and application where applicable,1,8238debc16105eed8c43c44ae32ac85f32f6ef81bca5a7196831af87300b4507,,,,,,,,,,,,,,01e6244ee277ad28681f4c41d8175a0939b55b5cac513d95a246aac502f1a0d6,7b38b02b3f80a89ee17eb606084f3ba9efdcfe7ce672f0018d63c8aff21de876,,2026-07-26T03:10:20.893877+00:00
Supplementary Figure 30,SupplementaryFigure30_verified_coordinates_original,SupplementaryFigure30_verified_coordinates_original.png,SupplementaryFigure30_verified_coordinates_original.pdf,SupplementaryFigure30_verified_coordinates_original.svg,scripts/generate_amazon_coordinate_figure.py,data/st8_metadata_curated.csv,python scripts/generate_amazon_coordinate_figure.py --base-dir . --article-root ../CangaMetaG_Article_Final,supplementary material and application where applicable,1,45d0b85fff4e8fd7eaf04322a4796a597824ac1ef639ebd648fcb81a08508b64,,,,,,,,,,,,,PASS — regenerated by canonical v14 script and inspected in rendered DOCX/PDF,aaf5fdbf5e6a2f0a9e071dad8d1e58d0506008fab32e17ae9c24f57685f212dc,ee0642410f7a214c05d3e2095732df7e7a50a53d7baa1c102185070ad3953584,Final order v14; scientific values unchanged; no manual image editing.,2026-07-26T03:10:20.893877+00:00
Supplementary Figure 31A,SupplementaryFigure31A_common_taxa_phylum_heatmap,SupplementaryFigure31A_common_taxa_phylum_heatmap.png,SupplementaryFigure31A_common_taxa_phylum_heatmap.pdf,SupplementaryFigure31A_common_taxa_phylum_heatmap.svg,scripts/figures/generate_s31_taxonomic_levels_revision3.py,outputs/final_publication_audit_tables/source_SupplementaryFigure14_GTDB_phylum_combined_bold.csv,python scripts/figures/generate_s31_taxonomic_levels_revision3.py --base-dir . --article-root ../CangaMetaG_Article_Final,supplementary information; application,1,81ac2fed946494db93b4860c02208043fd3ec606f15f2dd4efcf88f574b90e21,,,,,,,,,,,,,,5491116d48af5a4e4d9798818974436a7a85f48a98ce69acfd926275b422a67e,2424ae8ae97e463c3eafb5b1ee3506898cb6a6f839a42ed3cf70b3bfb27efb0e,,2026-07-26T03:10:20.893877+00:00
Supplementary Figure 31B,SupplementaryFigure31B_common_taxa_order_heatmap,SupplementaryFigure31B_common_taxa_order_heatmap.png,SupplementaryFigure31B_common_taxa_order_heatmap.pdf,SupplementaryFigure31B_common_taxa_order_heatmap.svg,scripts/figures/generate_s31_taxonomic_levels_revision3.py,outputs/final_publication_audit_tables/source_SupplementaryFigure20_GTDB_order_combined_bold.csv,python scripts/figures/generate_s31_taxonomic_levels_revision3.py --base-dir . --article-root ../CangaMetaG_Article_Final,supplementary information; application,1,d50187ee1124603d16cafacd672352b0c8335e8aa45a1c1d2c370cbb4edb9bb3,,,,,,,,,,,,,,98b0e523e17365a5ef8624a66fe1a5e5dccc86afd7c6687c78b44fd8de077ae9,dda9aa1f513df0328ec0f95ca27045f8dbc6e1228a92e66463785b85e109b500,,2026-07-26T03:10:20.893877+00:00
Supplementary Figure 31C,SupplementaryFigure31C_common_taxa_family_heatmap,SupplementaryFigure31C_common_taxa_family_heatmap.png,SupplementaryFigure31C_common_taxa_family_heatmap.pdf,SupplementaryFigure31C_common_taxa_family_heatmap.svg,scripts/figures/generate_s31_taxonomic_levels_revision3.py,outputs/final_publication_audit_tables/source_SupplementaryFigure23_GTDB_family_combined_bold.csv,python scripts/figures/generate_s31_taxonomic_levels_revision3.py --base-dir . --article-root ../CangaMetaG_Article_Final,supplementary information; application,1,b8ae96dba93b5db2de8b34742c401a0fe2139fd488eb879d1fb969473913f609,,,,,,,,,,,,,,dddeaa74c63c6674432208cdc6654bbc770539426864cd7fd72cb012c3eb58dd,a3de3a5795656455f65a7a38b01e32fbcb0d5b4d9982ac9650d8c630f84b98a8,,2026-07-26T03:10:20.893877+00:00
Supplementary Figure 32,SupplementaryFigure32_ResBiomarker_Biogeochemical_cycles_raw_heatmap,SupplementaryFigure32_ResBiomarker_Biogeochemical_cycles_raw_heatmap_P001.png,SupplementaryFigure32_ResBiomarker_Biogeochemical_cycles_raw_heatmap_P01.pdf,SupplementaryFigure32_ResBiomarker_Biogeochemical_cycles_raw_heatmap_P001.svg,scripts/figures/generate_s31_s32.py,data/publication_sources/Supplementary_Table_4.xlsx,python scripts/figures/generate_s31_s32.py --base-dir . --article-root ../CangaMetaG_Article_Final,supplementary material and application where applicable,6,3f293b7ef3526e75bd0e9d831859777b9f4d84bdba123ee9c89755731ca77a9e,,,,,,,,,,,,,PASS — regenerated by canonical v14 script and inspected in rendered DOCX/PDF,490a945d5e0de103d24fc22e50dbaf289b0b31696767bfa7de893fdaf79c43c8,7bd761b92a529f8b4352fd3ad927c084f51d75cfe2e4b328f26fce9691e8f3f8,Final order v14; scientific values unchanged; no manual image editing.,2026-07-26T03:10:20.893877+00:00
Supplementary Figure 33,SupplementaryFigure33_ResBiomarker_Biogeochemical_cycles_zscore_heatmap,SupplementaryFigure33_ResBiomarker_Biogeochemical_cycles_zscore_heatmap_P001.png,SupplementaryFigure33_ResBiomarker_Biogeochemical_cycles_zscore_heatmap.pdf,SupplementaryFigure33_ResBiomarker_Biogeochemical_cycles_zscore_heatmap_P001.svg,scripts/figures/generate_s33_biogeochemical_zscore_revision3.py,data/final_publication_derived/SupplementaryFigure32_biogeochemical_markers_raw_source.csv,python scripts/figures/generate_s33_biogeochemical_zscore_revision3.py --base-dir . --article-root ../CangaMetaG_Article_Final,supplementary information; application,6,e445815f460d2b91822a7f8c1701b09530916a54d649ed967deecb0e3ee01ce3,,,,,,,,,,,,,PASS — regenerated by canonical v14 script and inspected in rendered DOCX/PDF,a99db45135cc718be46d701e3432cae300f2be84c083b4ea0f7a37a871df00cc,85ed48f6b957b0d7f41e2c3389d0794d3c17be2813f4b75a4caea9cfb747d33f,Final order v14; scientific values unchanged; no manual image editing.,2026-07-26T03:10:20.893877+00:00
Supplementary Figure 34,SupplementaryFigure34_ST8_records_by_group_layer_vivid,SupplementaryFigure34_ST8_records_by_group_layer_vivid.png,SupplementaryFigure34_ST8_records_by_group_layer_vivid.pdf,SupplementaryFigure34_ST8_records_by_group_layer_vivid.svg,scripts/materialize_preserved_publication_asset.py,data/preserved_publication_assets/SupplementaryFigure34_ST8_records_by_group_layer_vivid/SupplementaryFigure34_ST8_records_by_group_layer_vivid.png; data/preserved_publication_assets/SupplementaryFigure34_ST8_records_by_group_layer_vivid/SupplementaryFigure34_ST8_records_by_group_layer_vivid.pdf; data/preserved_publication_assets/SupplementaryFigure34_ST8_records_by_group_layer_vivid/SupplementaryFigure34_ST8_records_by_group_layer_vivid.svg,python scripts/materialize_preserved_publication_asset.py --root . --stem SupplementaryFigure34_ST8_records_by_group_layer_vivid --validate-only,supplementary material and application where applicable,1,c1659f6cbbeea2482b89545a3500c174933fb3454a371eba554ed5fed71e8999,,,Hash-validate and materialize the unchanged packaged Supplementary Figure 34 asset because its legacy generator was not runnable from the received package.,,,,,,,,,,PASS — exact bytes and SHA-256 validated; no image editing or scientific recalculation.,76b241cbd04fae89d09ed14eebab41aa59c70163203feed368983f1dc5d7dde9,e98b416956cae53ad7c75d3fbaeaf77c9bd5087d5472aeb7149e53bbf5f42ab7,Preservation-only script; source bytes are packaged and hash checked.,2026-07-26T03:10:20.893877+00:00
Supplementary Figure 35,SupplementaryFigure35_all_KO_descriptive_contrasts_labeled,SupplementaryFigure35_all_KO_descriptive_contrasts_labeled.png,SupplementaryFigure35_all_KO_descriptive_contrasts_labeled.pdf,SupplementaryFigure35_all_KO_descriptive_contrasts_labeled.svg,scripts/materialize_preserved_publication_asset.py,data/preserved_publication_assets/SupplementaryFigure35_all_KO_descriptive_contrasts_labeled/SupplementaryFigure35_all_KO_descriptive_contrasts_labeled.png; data/preserved_publication_assets/SupplementaryFigure35_all_KO_descriptive_contrasts_labeled/SupplementaryFigure35_all_KO_descriptive_contrasts_labeled.pdf; data/preserved_publication_assets/SupplementaryFigure35_all_KO_descriptive_contrasts_labeled/SupplementaryFigure35_all_KO_descriptive_contrasts_labeled.svg,python scripts/materialize_preserved_publication_asset.py --root . --stem SupplementaryFigure35_all_KO_descriptive_contrasts_labeled --validate-only,supplementary material and application where applicable,1,d626743670dea14da99eaec5d4a68dfe84fbf5846d8b5de26e4645e6cbea6aa6,,,Hash-validate and materialize the unchanged packaged Supplementary Figure 35 asset because its legacy generator was not runnable from the received package.,,,,,,,,,,PASS — exact bytes and SHA-256 validated; no image editing or scientific recalculation.,4e2d9fcb439093eec5bf4054c4c53fe8bc9abb5c140bd84f0b5dc1e5286517f7,0e27272644136eddab4be401cefa46f0128bbc29713faef7717c15de6695f8f4,Preservation-only script; source bytes are packaged and hash checked.,2026-07-26T03:10:20.893877+00:00
Supplementary Figure 36,SupplementaryFigure36_iron_KO_descriptive_contrasts_labeled,SupplementaryFigure36_iron_KO_descriptive_contrasts_labeled.png,SupplementaryFigure36_iron_KO_descriptive_contrasts_labeled.pdf,SupplementaryFigure36_iron_KO_descriptive_contrasts_labeled.svg,scripts/materialize_preserved_publication_asset.py,data/preserved_publication_assets/SupplementaryFigure36_iron_KO_descriptive_contrasts_labeled/SupplementaryFigure36_iron_KO_descriptive_contrasts_labeled.png; data/preserved_publication_assets/SupplementaryFigure36_iron_KO_descriptive_contrasts_labeled/SupplementaryFigure36_iron_KO_descriptive_contrasts_labeled.pdf; data/preserved_publication_assets/SupplementaryFigure36_iron_KO_descriptive_contrasts_labeled/SupplementaryFigure36_iron_KO_descriptive_contrasts_labeled.svg,python scripts/materialize_preserved_publication_asset.py --root . --stem SupplementaryFigure36_iron_KO_descriptive_contrasts_labeled --validate-only,supplementary material and application where applicable,1,d8ce3a6699d3a525a9fe52fff681a5cb983ffed8851dafc108e76cee9ee397fd,,,Hash-validate and materialize the unchanged packaged Supplementary Figure 36 asset because its legacy generator was not runnable from the received package.,,,,,,,,,,PASS — exact bytes and SHA-256 validated; no image editing or scientific recalculation.,db98987b5208d3fb0481fdbfe0c0e91515ec2c7c243b365b821a721551d94691,9b25e98508839b807a0b7f8151068ce2e4c5f86e60aca4be84cefa1c0479ebd3,Preservation-only script; source bytes are packaged and hash checked.,2026-07-26T03:10:20.893877+00:00
Supplementary Figure 37,SupplementaryFigure37_MAG_KEGG_module_completeness_heatmap_species_MAGnumber_KEMET_style_3state,SupplementaryFigure37_MAG_KEGG_module_completeness_heatmap_species_MAGnumber_KEMET_style_3state_P001.png,SupplementaryFigure37_MAG_KEGG_module_completeness_heatmap_species_MAGnumber_KEMET_style_3state_P001.pdf,SupplementaryFigure37_MAG_KEGG_module_completeness_heatmap_species_MAGnumber_KEMET_style_3state_P001.svg,scripts/generate_s37_module_completeness.py,data/module_figure_inputs/SupplementaryFigure37_MAG_KEGG_module_completeness_heatmap_species_MAGnumber_KEMET_style_3state_thematic_status.csv; data/module_figure_inputs/st8_metadata_curated.csv,python scripts/generate_s37_module_completeness.py --root .,Article supplementary figure panels and application integral heatmap/summary generated from the same thematic status matrix.,1,8aa97ebd01fddc7a04065cb5ff3456722602c8f9ba1e454b5930684cf47fb367,Thematic MAG KEGG/KEMET module completeness,P001,Show all original module-completeness states for rows with at least one Complete call across recovered MAGs.,Packaged thematic status matrix; source matrices remain unchanged.,data/module_figure_inputs/,P001: 15.2x9.45 in; x=12.5 pt; y=11.5 pt; title=16.0 pt; axes=14.0 pt; legend=12.5 pt,"Presentation-only thematic catalogue: Supplementary Table 8 biomarkers plus nitrogen, phosphorus, carbon, methane, sulfur, photosynthesis and iron cycling; then retain a row when at least one record is Complete. All original cells of retained rows are displayed as Complete, 1 block missing or Incomplete; white only true missing data.",No statistical values recalculated; presentation-only module selection and pagination.,Not applicable,Python 3.13.5; pandas 2.2.3; NumPy 2.3.5; Matplotlib 3.10.8,03_Supplementary_Figures/SupplementaryFigure37_MAG_KEGG_module_completeness_heatmap_species_MAGnumber_KEMET_style_3state_P001.png,outputs/app_supplementary_figures/SupplementaryFigure37_MAG_KEGG_module_completeness_heatmap_species_MAGnumber_KEMET_style_3state.png,PASS — canonical S37-only source exists; packaged final output preserved.,c2baf66c6d7eb188c4302db617c9a372ea0c463937c1da91bb85ec5e382e2604,1a7f4d9226280dc14e560b0d356701bb3a0a176df50ac9d00ffaebeef3add3f7,S37 is isolated from the S40/S67 environmental-group workflow; no competing generator remains.,2026-07-26T03:10:20.893877+00:00
Supplementary Figure 38,SupplementaryFigure38_metagenome_KEGG_module_completeness_heatmap,SupplementaryFigure38_metagenome_KEGG_module_completeness_heatmap_P001.png,SupplementaryFigure38_metagenome_KEGG_module_completeness_heatmap_P001.pdf,SupplementaryFigure38_metagenome_KEGG_module_completeness_heatmap_P001.svg,scripts/generate_s38_s41_module_figures.py,data/final_kegg_st8_update/KEMET_lagoon_all_metagenomes_module_completeness_STATUS_3state.csv; tables/Supplementary_Table_14_thematic_module_subset.xlsx,python scripts/generate_s38_s41_module_figures.py --base-dir . --only 38,Article supplementary figure panels and application integral heatmap/summary generated from the same thematic status matrix.,1,419f1b72705daea62b61ab3f54863788399254577665128d3ccbf32398126664,Amazonian lagoon metagenome KEGG/KEMET module completeness — modules Complete in at least one metagenome,P001–P005,Show all original module-completeness states for rows with at least one Complete call across the 20 Amazonian metagenomes.,Packaged original three-state status matrix; source matrix is read-only and retained unchanged for audit.,data/final_publication_derived/SupplementaryFigure38_metagenome_KEGG_module_completeness_heatmap_filtered_status.csv; data/final_publication_derived/SupplementaryFigure38_metagenome_KEGG_module_completeness_heatmap_visual_categories.csv; data/final_publication_derived/SupplementaryFigure38_metagenome_KEGG_module_completeness_heatmap_cell_audit.csv; data/final_publication_derived/SupplementaryFigure38_metagenome_KEGG_module_completeness_heatmap_filter_audit.csv,P001: 15.2x9.45 in; x=13.0 pt; y=11.5 pt; title=16.0 pt; axes=14.0 pt; legend=12.5 pt,"Presentation-only thematic catalogue: Supplementary Table 8 biomarkers plus nitrogen, phosphorus, carbon, methane, sulfur, photosynthesis and iron cycling; then retain a row when at least one record is Complete. All original cells of retained rows are displayed as Complete, 1 block missing or Incomplete; white only true missing data.",No statistical values recalculated; presentation-only module selection and pagination.,Not applicable,Python 3.13.5; pandas 2.2.3; NumPy 2.3.5; Matplotlib 3.10.8,03_Supplementary_Figures/SupplementaryFigure38_metagenome_KEGG_module_completeness_heatmap_P001.png; additional Pxxx panels; SupplementaryFigure38_metagenome_KEGG_module_completeness_heatmap.pdf,outputs/app_supplementary_figures/SupplementaryFigure38_metagenome_KEGG_module_completeness_heatmap.png,PASS — canonical source exists; packaged final output preserved.,7ff42c10998292b1b05f43725b273c8eaed2af728afc96a2c560362b26dcee24,4d72ae28bfcbd773db24d69cab7bc6b665b2b3928fbf09516dd6f79dfa800082,Final S38 source path corrected; no scientific or graphical content changed.,2026-07-26T03:10:20.893877+00:00
Supplementary Figure 39,SupplementaryFigure39_top_enriched_taxa_DESeq2_vivid,SupplementaryFigure39_top_enriched_taxa_DESeq2_vivid.png,SupplementaryFigure39_top_enriched_taxa_DESeq2_vivid.pdf,SupplementaryFigure39_top_enriched_taxa_DESeq2_vivid.svg,scripts/materialize_preserved_publication_asset.py,data/preserved_publication_assets/SupplementaryFigure39/SupplementaryFigure39_top_enriched_taxa_DESeq2_vivid.png; data/preserved_publication_assets/SupplementaryFigure39/SupplementaryFigure39_top_enriched_taxa_DESeq2_vivid.pdf; data/preserved_publication_assets/SupplementaryFigure39/SupplementaryFigure39_top_enriched_taxa_DESeq2_vivid.svg,python scripts/materialize_preserved_publication_asset.py --root . --stem SupplementaryFigure39_top_enriched_taxa_DESeq2_vivid --validate-only,supplementary material and application where applicable,1,4daa9d09bd87b1496923c4679ba9d00c8a38f328c7e88c768ade52ee4f8d6a6f,,,Hash-validate and materialize the unchanged packaged S39 publication asset because the received legacy computational generator was absent.,,,,,,,,,,PASS — exact bytes and SHA-256 validated; no image editing or scientific recalculation.,4abca993541fa38b084e3bf116ba4bacee163dcdc927f7bc7798af8594b9d26b,9de978c80a25f13e944aa79b94c69d8c6c7a138d086dd13ed37d9ae0ed3732b6,Preservation-only script; source bytes are packaged and hash checked.,2026-07-26T03:10:20.893877+00:00
Supplementary Figure 40,SupplementaryFigure40_ST8_external_iron_rich_module_completeness_by_environmental_group,SupplementaryFigure40_ST8_external_iron_rich_module_completeness_by_environmental_group_P001.png,SupplementaryFigure40_ST8_external_iron_rich_module_completeness_by_environmental_group_P001.pdf,SupplementaryFigure40_ST8_external_iron_rich_module_completeness_by_environmental_group_P001.svg,scripts/figures/generate_environmental_group_heatmaps.py,data/module_figure_inputs/SupplementaryFigure40_ST8_external_iron_rich_module_completeness_KEMET_style_3state_heatmap_thematic_status.csv; data/module_figure_inputs/st8_metadata_curated.csv,python scripts/figures/generate_environmental_group_heatmaps.py --root .,Article supplementary figure panels and application integral heatmap/summary generated from the same thematic status matrix.,2,6a27bc1e30a677d49027db56d24a17ae9f7e43c9d52bd845f1ea7501a86f6164,External iron-rich module completeness by environmental group,P001–P002,Render final S40 from the immutable categorical source matrix with records of the same environmental group placed side by side.,Packaged thematic status matrix; source matrices remain unchanged.,data/final_publication_derived/SupplementaryFigure40_ST8_external_iron_rich_module_completeness_by_environmental_group_status.csv; data/final_publication_derived/SupplementaryFigure40_ST8_external_iron_rich_module_completeness_by_environmental_group_column_order.csv; validation/environmental_group_heatmap_comparison.tsv,"Rows unchanged; 18 modules per panel; stable environmental-group column order; colors Complete #2E7D32, 1 block missing #4575B4, Incomplete #D73027; missing white.","Column permutation only; no removal, duplication, aggregation, recalculation, normalization, transformation or status reclassification.",No statistical values recalculated; presentation-only module selection and pagination.,Not applicable — deterministic ordering and categorical heatmap.,Python; pandas; NumPy; Matplotlib,03_Supplementary_Figures/SupplementaryFigure40_ST8_external_iron_rich_module_completeness_by_environmental_group_P001.png,outputs/app_supplementary_figures/SupplementaryFigure40_ST8_external_iron_rich_module_completeness_by_environmental_group.png,PASS — generator executed; cell-by-cell equivalence audit passed.,02f8e5ac79507432f3c054af08df284ddde71b548bffc201a0510d4a05d687b5,c366112202545ce175fd678765c54183a67df93c9f018275ebb919ab8e319eea,Final S40 is environmental-group only. Original order is reconstructed only in the audit and is not distributed as an active figure.,2026-07-26T03:10:20.893877+00:00
